ID,Latitude,Longitude,Face Color,Face Alpha,Edge Color,Edge Alpha,Edge Width,~Comments,"Delta (left, right)",Name
~Field,32.213602,-110.986617,#79D938,0.5,#FFFFFF,0.7,1,~Front_right,-0.00013,
~Field,32.213583,-110.986869,,,,,,~Back_right,-0.000129,
~Field,32.213454,-110.986861,,,,,,~Back_left,,
~Field,32.213472,-110.986602,,,,,,~Front_left,,
0,32.213602,-110.986617,#03FF03,0.4,#DE3C9D,1,2,~Front_right,-0.00001,Chards
0,32.213595,-110.986721,,,,,,~Back_right,-0.000009999999996,
0,32.213585,-110.986721,,,,,,~Back_left,,
0,32.213592,-110.986618,,,,,,~Front_left,,
1,32.213595,-110.986721,,,#FC88EF,,,~Front_right,-0.000009999999996,Colored Flowers
1,32.2135853,-110.986823,,,,,,~Back_right,-0.000009999999996,
1,32.2135753,-110.986822,,,,,,~Back_left,,
1,32.213585,-110.986721,,,,,,~Front_left,,
2,32.213592,-110.986618,,,#257A16,,,~Front_right,-0.000009999999996,Cilantro
2,32.213583,-110.986752,,,,,,~Back_right,-0.00001,
2,32.213573,-110.986752,,,,,,~Back_left,,
2,32.213582,-110.986618,,,,,,~Front_left,,
3,32.213583,-110.986752,,,#D40644,,,~Front_right,-0.00001,Radish
3,32.213575,-110.986871,,,,,,~Back_right,-0.000009999999996,
3,32.213565,-110.986868,,,,,,~Back_left,,
3,32.213573,-110.986752,,,,,,~Front_left,,
4,32.213582,-110.986618,,,#F07122,,,~Front_right,-0.00001,Carrots
4,32.213573,-110.986752,,,,,,~Back_right,-0.000009999999989,
4,32.213563,-110.986751,,,,,,~Back_left,,
4,32.213572,-110.986616,,,,,,~Front_left,,
5,32.213573,-110.986752,,,#87104A,,,~Front_right,-0.000009999999989,Beets
5,32.213565,-110.986868,,,,,,~Back_right,-0.00001,
5,32.213555,-110.986865,,,,,,~Back_left,,
5,32.213563,-110.986751,,,,,,~Front_left,,
6,32.213572,-110.986616,,,#91C767,,,~Front_right,-0.00001,Lettuce
6,32.213562,-110.986785,,,,,,~Back_right,-0.00001,
6,32.213552,-110.986784,,,,,,~Back_left,,
6,32.213562,-110.986614,,,,,,~Front_left,,
7,32.213562,-110.986785,#ADADAD,,,,,~Front_right,-0.00001,Lettuce (Unplanted)
7,32.213556,-110.986867,,,,,,~Back_right,-0.00001,
7,32.213546,-110.986866,,,,,,~Back_left,,
7,32.213552,-110.986784,,,,,,~Front_left,,
8,32.213562,-110.986614,#03FF03,,#D40644,,,~Front_right,-0.00001,Radish
8,32.213558,-110.986668,,,,,,~Back_right,-0.00001,
8,32.213548,-110.986667,,,,,,~Back_left,,
8,32.213552,-110.986612,,,,,,~Front_left,,
9,32.213558,-110.986668,,,#F07122,,,~Front_right,-0.00001,Carrots
9,32.213547,-110.986866,,,,,,~Back_right,-0.0000106,
9,32.2135364,-110.986865,,,,,,~Back_left,,
9,32.213548,-110.986667,,,,,,~Front_left,,
Wheat (8 rows),32.213552,-110.986612,,,#F2C616,,,~Front_right,-0.00006399999999,
Wheat (8 rows),32.2135364,-110.986865,,,,,,~Back_right,-0.00006399999999,
Wheat (8 rows),32.2134724,-110.986864,,,,,,~Back_left,,
Wheat (8 rows),32.213488,-110.986604,,,,,,~Front_left,,
10,32.213488,-110.986604,,,#2FBD5E,,,~Front_right,-0.000005999999999,Collards
10,32.2134724,-110.986864,,,,,,~Back_right,-0.000009399999996,
10,32.213463,-110.98686,,,,,,~Back_left,,
10,32.213482,-110.986601,,,,,,~Front_left,,
11,32.213482,-110.986601,,,#BFFF96,,,~Front_right,-0.000009999999996,Cabbage
11,32.213463,-110.98686,,,,,,~Back_right,-0.000008999999999,
11,32.213454,-110.986861,,,,,,~Back_left,,
11,32.213472,-110.986602,,,,,,~Front_left,,
