"~ When exported to .csv (comma-separated values), my script will ignore anything within the same line that starts with '~'. .csv files go from left to right, and after the last entry of the row, it creates a new line.
~ Make sure to put any data that is after edge width to be after ~, otherwise, my script will try to parse that data and might crash.
~ Unit is meter unless otherwise stated",,,,,,,,,,
~ID,Latitude (deg),Longitude (deg),Radius (Arbitrary unit),Face Color,Face Alpha,Edge Color,Edge Alpha,Edge Width,~To my right are not drawing data,Name
1,32.213242,-110.987531,0.3,#000000,0.7,#FF00FF,0.9,1,~,30
2 ,32.213245,-110.987549,,,,,,,~,37
2,32.213249,-110.98754,0.5,,,,,,~,36
3,32.213204,-110.987511,0.3,,,,,,~,24
3  ,32.21322,-110.987538,,,,,,,~,24
3 ,32.213214,-110.987526,,,,,,,~,24
4,32.213213,-110.987549,,,,,,,~,39
5,32.213229,-110.987527,,,,,,,~,27
6,32.213198,-110.987535,0.5,,,,,,~,23
7,32.213203,-110.987542,0.3,,,,,,~,40
8,32.213184,-110.987525,,,,,,,~,20
9,32.213187,-110.987511,,,,,,,~,18
10,32.213181,-110.987517,,,,,,,~,17
11,32.213179,-110.987502,,,,,,,~,16
12,32.213193,-110.987508,0.35,,,,,,~,22
13,32.213228,-110.987519,0.55,,,,,,~,26
13 ,32.213207,-110.987537,0.3,,,,,,~,26
14,32.213239,-110.987523,,,,,,,~,28
17,32.213228,-110.987599,0.25,,,,,,~,1
18,32.213224,-110.98761,,,,,,,~,2
19,32.213226,-110.987594,,,,,,,~,x
20,32.213221,-110.987592,,,,,,,~,y
21,32.213207,-110.987598,,,,,,,~,6
22,32.213216,-110.987602,,,,,,,~,3
22 ,32.21316,-110.987557,,,,,,,~,10
23,32.2132,-110.987602,0.3,,,,,,~,5
23 ,32.213164,-110.987555,0.25,,,,,,~,11
24,32.213161,-110.987581,,,,,,,~,7
25,32.21317,-110.987575,0.2,,,,,,~,9-vine
27,32.213141,-110.987525,0.4,,,,,,~,42
